ID,Area (Ha 1),INITIAL WEIGHT/kg,DENSITY 1 (total stock/Ha),HARVEST NO. 1,AVG WEIGHT 1,PRODUCTION 1,PRODUCTION 1/Ha,DISTANCE/m,VEGETATION%,AVERAGE_DEPTH/ft,PENS,DURATIONMONTHS
J002,0.4,0.08,12500,5000,0.375,1875,4688,300,60,2,2,5
J003,0.4,0.08,10000,3000,0.3,900,2250,300,10,6,2,8
J004,0.8,0.1,18750,14000,0.4,5600,7000,150,60,5,3,8
J005,1,0.1,10000,9000,0.45,4050,4050,200,75,3,1,6
J006,0.4,0.08,10000,5000,0.35,1750,4375,100,20,3,1,10
J007,2,0.03,4000,8000,0.45,3600,1800,150,75,3,1,9
J008,0.8,0.12,12500,8500,0.4,3400,4250,100,90,4,1,9
J009,4,0.1,10000,20000,0.5,10000,2500,300,50,4,3,10
J010,4,0.12,7500,25000,0.4,10000,2500,100,50,2,1,12
J011,1,0.08,10000,10000,0.5,5000,5000,1500,60,5,1,8
J012,1,0.12,7000,6000,0.45,2580,2580,500,100,4,1,8
J014,0.8,0.1,8750,5500,0.475,2613,3266,2000,50,4,1,6
J015,1,0.08,23000,19000,0.4,7363,7363,500,75,5,1,8
J017,0.4,0.175,7500,700,0.4,280,700,500,10,3,1,6
J018,0.6,0.125,23333,12000,0.45,2005,3342,500,75,2,1,11
J019,0.4,0.1,37500,12000,0.375,4500,11250,200,40,3,1,6
J020,0.4,0.1,26250,2850,0.35,998,2494,300,80,3,1,4
J021,1,0.1,7500,5000,0.4,2000,2000,1000,50,2,1,5
J022,4,0.1,10000,35000,0.5,17500,4375,75,60,4,4,12
J023,1,0.09,8000,7000,0.35,2520,2520,300,50,3,1,11
J025,1,0.2,8000,7000,0.5,3570,3570,1000,50,4,2,7
J026,1,0.08,70000,65000,0.3,19500,19500,500,50,4,1,14
J027,0.8,0.1,12500,9000,0.4,3600,4500,500,60,3,2,12
J028,0.4,0.15,11250,4500,0.35,1575,3938,50,80,2,3,6
J030,4,0.08,15750,63000,0.35,22050,5513,500,80,3,1,10
J037,0.4,0.08,11250,3000,0.35,2100,5250,70,50,2,1,10
J038,1.6,0.075,#REF!,3000,0.35,1050,656,50,50,1,2,6
J039,0.4,0.15,11250,4500,0.35,1575,3938,50,80,2,1,8
K001,0.4,0.025,10000,3600,0.6,2160,5400,1500,50,3,1,9
K002,0.4,0.025,5000,1800,0.55,911,2278,500,50,3,1,9
K003,1.44,0.125,#REF!,8000,0.35,2800,1944,500,40,3,1,10
K004,4,0.06,10000,38000,0.45,17100,4275,50,50,3,2,12
K005,0.4,0.08,10000,3600,0.45,1620,4050,60,50,3,1,6
K006,0.4,0.08,10000,3600,0.45,1620,4050,1000,50,2,1,6
K007,0.4,0.08,10000,3600,0.45,1620,4050,1000,50,2,1,6
K008,0.4,0.08,10000,3600,0.45,1620,4050,1000,50,2,1,6
K009,0.4,0.08,10000,3600,0.45,1620,4050,1000,50,2,1,6
K010,0.4,0.1,15000,5400,0.6,3078,7695,1500,50,3,1,13
K011,2,0.175,7500,11000,0.55,5775,2888,1500,30,3,2,10
K012,0.8,0.1,12500,8500,0.5,5865,7331,300,60,3,2,11
K013,0.4,0.1,8750,3000,0.45,1350,3375,1500,60,3,1,9
M001,0.4,0.08,12500,,0.3,1200,3000,400,75,2,1,12
J041,0.4,0.15,#REF!,2000,0.45,900,2250,400,10,3,1,6
