,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Area (Ha 1),0.3419120522682518,-0.4513111259852899,-0.1317992268237836,-0.13515491842429014,0.20912090112959006,-0.05234535646375887,-0.2287953796882563
INITIAL WEIGHT/kg,-0.05637472892477805,-0.08522299682485744,0.4063766393772041,0.60526192380452,0.3616168779499635,-0.4177798789840296,0.012461951382129757
DENSITY 1 (total stock/Ha),0.29500907425593065,0.5125548966276525,0.053836080444137756,0.24350050281798485,-0.15941278429827294,0.020605116029114166,-0.09135789843994602
HARVEST NO. 1,0.49119061898402133,0.02672122091641324,-0.13026526134684965,0.021497220959945627,0.1759560232351004,0.029257111694863867,-0.2282960346601912
PRODUCTION 1,0.49219311349648526,-0.09967679889030184,-0.08428363357457246,-0.03131149141475099,0.18225911765176833,0.02458311809357401,-0.23193514631362172
PRODUCTION 1/Ha,0.31753836710133443,0.5084097031069444,0.10058838077510113,0.14117246597611607,-0.11275481857489794,-0.06024656573104881,0.006917364816886847
DISTANCE/m,-0.2032083232991019,0.2703974996433565,0.0814976443374165,-0.23820967086400807,0.7560929083568566,-0.09261784054957414,-0.08016185141103471
VEGETATION%,0.006062388663899406,-0.1384658957864173,-0.3916919415037529,0.5969729476936319,0.23169594662614185,0.5050444881987938,0.32211969309649396
AVERAGE_DEPTH/ft,0.13672531417124192,0.03698361212897136,0.5913023815904369,-0.21921994795986693,0.17231913548929698,0.6553464349762658,0.19027397411281932
PENS,0.15237911639335652,-0.4021355956899353,0.5184854438655275,0.15901742329590013,-0.25296469781309866,-0.045369840399298866,-0.046925908611876316
DURATIONMONTHS,0.35396497420505707,-0.04294688839956434,-0.04321771192253369,-0.21968608860328748,0.06443732425392613,-0.3493136654954642,0.8274037839499128
